PMDN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
(85-2015) Pendidikan,,,,,,,,,,"5,140.0",,,,,,,,,,"5,418.8",,"2,000.0",,,,"20,600.0","13,020.0","7,753.9","88,696.3","85,776.6","435,847.8"
"(74-2015) Aktivitas profesional, ilmiah dan teknis lainnya",,,,,"9,141.0",,,"21,841.6",,,610.7,650.0,,,"6,088.5",723.4,"357,271.5",,591.0,"4,867,449.0","25,886.4",0.0,151.5,,"7,346.8","1,001.9","1,133.2",,"11,732.6","298,014.5","167,993.8"
"(82-2015) Aktivitas administrasi kantor, aktivitas penunjang kantor dan aktivitas penunjang usaha lainnya",,,,,,,,,,,"2,588.0",,,,,,"5,800.0",,"2,500.0",,"352,486.2","60,500.0","6,519.8",,845.0,"156,506.8","1,605,121.2","42,396.7","148,191.0","1,674,968.7","212,134.1"
(77-2015) Aktivitas penyewaan dan sewa guna usaha tanpa hak opsi,,,"2,036.3",,,624.3,"9,015.3","4,300.0",,"52,500.2","6,355.9",,,"95,000.0","215,846.4","43,906.7","45,618.8",,811.0,"5,225.1","190,219.8","1,521.1","13,065.7",0.0,"90,892.3","2,138.1","286,717.1","246,209.7","1,439,129.6","717,483.3","1,415,395.5"
(86-2015) Aktivitas kesehatan manusia,,,,,,,,"54,411.5",,,,,,,"13,122.0",,,,,,0.0,0.0,"1,234.0","2,706.6","1,972.3","452,100.9","44,216.3","1,056,682.1","1,239,318.0","2,589,485.2","3,486,349.8"
"(90-2015) Aktivitas hiburan, kesenian dan kreativitas",,,,,,,,,,,,"3,273.4",,,,,,,,,0.0,0.0,0.0,0.0,"1,702.0","2,420.4","3,637.5",,0.0,728.0,"90,707.9"
(93-2015) Aktivitas olahraga dan rekreasi lainnya,"7,453.0","5,507.0",,,"51,173.1",,"59,830.0","79,500.0","1,633.0","214,491.6","85,416.5",,,,,"60,165.7","78,746.0","48,279.6",,"32,660.0","128,984.5","971,279.4","742,279.5","270,770.2","132,260.4","7,526.6","510,416.4","802,634.4","776,919.4","416,668.6","1,341,671.6"
(95-2015) Reparasi komputer dan barang keperluan pribadi dan perlengkapan rumah tangga,,,,,,,,,,,,,,,,,,,,"5,275.1",162.2,250.1,,,,,,,0.0,"2,405.6","1,041.6"
(53-2015) Aktivitas pos dan kurir,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,700.0",350.0,"19,804.8","102,274.8"
(69-2015) Aktivitas hukum dan akuntansi,,,,,,,,,,,,,,,,,,,,,,,"1,000.0",,,,,,,"44,006.8","2,609.2"
"(84-2015) Administrasi pemerintahan, pertahanan dan jaminan sosial wajib",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
(80-2015) Aktivitas keamanan dan penyelidikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,950.2","306,686.7"
(81-2015) Aktivitas penyedia jasa untuk gedung dan pertamanan,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,328.9",0.0,0.0,"7,847.1","34,715.6"
(96-2015) Aktivitas jasa perorangan lainnya,,,,,,,,,,"7,896.6",,,,,,,"4,050.0",,,,,,,,,"1,760.0",,0.0,"16,520.4","33,313.8","159,050.4"
(73-2015) Periklanan dan penelitian pasar,,,,,,,,"2,000.0",,,,,,,,,,,,,,,,,,0.0,0.0,2.8,520.0,"4,559.2","198,970.3"
"(59-2015) Aktivitas produksi gambar bergerak, video dan program televisi, perekaman suara dan penerbitan musik",,,,,,,,,,,,,,,,,,,,,"6,121.7",,,,,,,"72,103.5",0.0,"2,512.1","183,540.5"
(72-2015) Penelitian dan pengembangan ilmu pengetahuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,"2,375.1",232.6
(94-2015) Aktivitas keanggotaan organisasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.7,"6,970.8"
"(91-2015) Perpustakaan, arsip, museum dan kegiatan kebudayaan lainnya",,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,357.9","1,353.5","12,534.4","17,984.9"
(39-2015) Aktivitas remediasi dan pengelolaan sampah lainnya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"(66-2015) Aktivitas penunjang jasa keuangan, asuransi dan dana pensiun",,,,,,,,,,,,,,,,,,,0.0,,,,,,"1,000.0",,,,0.0,0.0,"7,089.6"
(06-2015) Pertambangan minyak bumi dan gas alam dan panas bumi,,,,,,,,,,,,,,,,,,,"290,312.0",,,,,,,"516,184.6","2,265.9","4,466.2","3,560,835.7","1,831,903.4","424,288.6"
(98-2015) Aktivitas yang menghasilkan barang dan jasa oleh rumah tangga yang digunakan untuk memenuhi kebutuhan sendiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4
(88-2015) Aktivitas sosial di luar panti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"(65-2015) Asuransi, reasuransi dan dana pensiun, bukan jaminan sosial wajib",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
(97-2015) Aktivitas rumah tangga sebagai pemberi kerja dari personil domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
(75-2015) Aktivitas kesehatan hewan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,020.7"
Total(Nama KBLI),"1,630,532.2","2,620,567.0","3,420,906.5","4,824,932.6","9,551,760.9","8,587,004.3","15,928,577.9","14,845,204.6","7,565,681.6","11,394,296.6","19,568,578.5","8,289,854.2","19,092,185.3","6,831,223.4","11,122,947.4","12,423,011.7","12,638,317.3","34,639,045.3","16,680,363.2","33,526,927.9","37,153,325.9","47,588,647.1","61,368,428.9","89,301,033.4","112,702,920.5","129,420,768.3","147,118,789.1","178,900,186.5","213,180,878.3","283,636,744.3","294,205,312.9"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
