Year,Reporter,Reporter ISO,Commodity Code,Commodity,Netweight (kg),Trade Value (US$)
2015,Kyrgyzstan,KGZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1520,1520
2011,Kyrgyzstan,KGZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,30000,7493
2013,Kyrgyzstan,KGZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,20000,20000
2014,Kyrgyzstan,KGZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,30,326
2013,Lao People's Dem. Rep.,LAO,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,,7500
2012,Lebanon,LBN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,18725,40913
2013,Lebanon,LBN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,17780,18896
2014,Lebanon,LBN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,212,253
2015,Lebanon,LBN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,425,22357
2011,Lebanon,LBN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,6925,13350
2012,Latvia,LVA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,530,1596
2013,Latvia,LVA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,401613,1574781
2014,Latvia,LVA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,366,16349
2015,Latvia,LVA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,12,99
2011,Latvia,LVA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,5740,53727
2012,Lithuania,LTU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,282055,722408
2013,Lithuania,LTU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,62234,120929
2014,Lithuania,LTU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,80123,130727
2015,Lithuania,LTU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,7074,129062
2011,Lithuania,LTU,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,80608,272643
2012,Luxembourg,LUX,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,573,11371
2013,Luxembourg,LUX,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,13541,1282515
2014,Luxembourg,LUX,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,399,10373
2015,Luxembourg,LUX,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,21,125389
2011,Luxembourg,LUX,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,3286,83875
2013,Madagascar,MDG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,26,2748
2014,Madagascar,MDG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,4,31
2015,Madagascar,MDG,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,11,34
2012,Malawi,MWI,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,116,113
2013,Malaysia,MYS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,5046009,15644706
2014,Malaysia,MYS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,5855623,14313725
2015,Malaysia,MYS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,22511895,14107428
2011,Malaysia,MYS,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,952894,2290823
